ID,NAME,SURNAME,SENIORITY,TRANSPORT,TIME_MINUTES
39003,Alex,Doruch,2,Samochód,87
39004,Julian,Gabryelczyk,2,Rower,53
39005,Mikołaj,Nowek,2,Pieszo,23
39006,Julian,Mielcarz,2,Pieszo,57
39007,Alan,Kożuszek,3,Hulajnoga,70
39008,Sebastian,Durlak,1,Skuter,82
39009,Kalina,Pędrak,1,Pieszo,15
39010,Sara,Bulanda,3,Rower,88
39011,Borys,Malewicz,4,Skuter,5
39012,Stefan,Bacik,3,Pieszo,15
39013,Róża,Mamcarz,4,Pieszo,52
39014,Mikołaj,Łaszczyk,1,Samochód,69
39015,Alex,Smal,3,Rower,34
39016,Anastazja,Maksimowicz,1,Pieszo,62
39017,Aleks,Radzewicz,3,Pieszo,10
39018,Emil,Rej,3,Skuter,42
39019,Klara,Malcharek,1,Samochód,83
39020,Oskar,Chwalisz,2,Skuter,41
39021,Ida,Naumiuk,2,Samochód,76
39022,Roksana,Gregorek,4,Pieszo,46
39023,Natan,Achtelik,1,Rower,39
39024,Borys,Szaruga,1,Hulajnoga,33
39025,Sebastian,Jędruszczak,3,Rower,22
39026,Stanisław,Szarejko,2,Hulajnoga,77
39027,Gabriel,Ciapa,1,Pieszo,5
39028,Agnieszka,Fierek,2,Hulajnoga,83
39029,Apolonia,Grzela,4,Rower,5
39030,Mateusz,Miotke,3,Skuter,50
39031,Kamila,Żakiewicz,4,Rower,6
39032,Ernest,Burczak,2,Samochód,81
39033,Przemysław,Żelasko,2,Rower,64
39034,Gabriel,Łuckiewicz,3,Samochód,78
39035,Apolonia,Synak,2,Rower,64
39036,Ksawery,Materka,1,Pieszo,8
39037,Nikodem,Kusek,1,Rower,54
39038,Olaf,Wojtyś,4,Rower,30
39039,Mieszko,Kiełbus,3,Samochód,51
39040,Aleksander,Pilich,1,Pieszo,74
39041,Elżbieta,Brzykcy,3,Skuter,46
39042,Ewelina,Jeszka,3,Rower,83
39043,Liwia,Siedlaczek,4,Pieszo,89
39044,Tymoteusz,Doruch,3,Skuter,11
39045,Kornel,Żółtek,4,Pieszo,48
39046,Sonia,Stosik,2,Hulajnoga,3
39047,Anna Maria,Zadora,3,Rower,18
39048,Filip,Freitag,1,Rower,40
39049,Jerzy,Golon,2,Pieszo,71
39050,Adrian,Maziarczyk,4,Skuter,21
39051,Emil,Maziarczyk,3,Samochód,68
39052,Cyprian,Buś,2,Samochód,49
39053,Jeremi,Dudała,3,Skuter,42
39054,Tymoteusz,Okła,1,Pieszo,64
39055,Tomasz,Karwot,3,Samochód,34
39056,Tomasz,Nazar,4,Hulajnoga,87
39057,Ernest,Mokwa,3,Hulajnoga,49
39058,Adrianna,Wasiewicz,3,Samochód,55
39059,Cezary,Palak,4,Rower,36
39060,Maksymilian,Kidoń,2,Rower,22
39061,Ewa,Lemiesz,4,Pieszo,51
39062,Karina,Szałaj,2,Rower,49
39063,Sonia,Skupin,3,Rower,4
39064,Melania,Reimann,3,Pieszo,51
39065,Melania,Sapała,3,Hulajnoga,15
39066,Dominik,Sondej,4,Skuter,11
39067,Ewa,Bieleń,4,Hulajnoga,44
39068,Stanisław,Cieloch,4,Pieszo,66
39069,Przemysław,Kurzydło,4,Rower,89
39070,Olaf,Dziuban,1,Pieszo,67
39071,Ksawery,Kursa,4,Hulajnoga,4
39072,Sebastian,Smal,4,Hulajnoga,56
39073,Marika,Rybus,1,Pieszo,35
39074,Witold,Owsiak,2,Hulajnoga,88
39075,Iwo,Berendt,1,Samochód,48
39076,Klara,Pituła,2,Rower,42
39077,Marcin,Wajdzik,2,Samochód,25
39078,Nataniel,Żołądkiewicz,4,Skuter,13
39079,Marcelina,Gładka,3,Rower,29
39080,Olga,Teodorowicz,4,Samochód,12
39081,Krystian,Idec,4,Pieszo,4
39082,Alex,Waluk,1,Hulajnoga,67
39083,Oliwier,Gronkiewicz,1,Hulajnoga,62
39084,Fryderyk,Lizurej,4,Samochód,40
39085,Damian,Morek,1,Rower,56
39086,Nikodem,Morgała,1,Skuter,4
39087,Daniel,Szczepaniuk,3,Pieszo,71
39088,Ignacy,Siedlarz,3,Hulajnoga,62
39089,Daniel,Kara,3,Samochód,84
39090,Olaf,Karczmarek,2,Pieszo,26
39091,Borys,Mendak,3,Pieszo,38
39092,Marcel,Makaruk,1,Pieszo,86
39093,Ada,Kuśnierek,4,Pieszo,61
39094,Daniel,Zarzeczna,1,Skuter,14
39095,Dorota,Meler,1,Samochód,88
39096,Aleksander,Trojanek,3,Pieszo,61
39097,Nela,Kwasek,1,Samochód,38
39098,Andrzej,Dycha,1,Hulajnoga,32
39099,Olaf,Piechura,3,Hulajnoga,9
39100,Michał,Bąbel,3,Skuter,77
39101,Bianka,Stebel,2,Pieszo,60
39102,Tomasz,Krokosz,1,Skuter,31
39103,Angelika,Martyka,4,Rower,84
39104,Tymoteusz,Żołnierczyk,2,Samochód,70
39105,Rafał,Opas,2,Hulajnoga,62
39106,Marcin,Drynda,3,Rower,75
39107,Jędrzej,Kryza,3,Hulajnoga,44
39108,Ada,Kasak,4,Pieszo,1
39109,Leonard,Miąsko,1,Samochód,63
39110,Hubert,Przewoźna,3,Rower,15
39111,Juliusz,Słowiak,2,Pieszo,83
39112,Dawid,Zielke,3,Samochód,9
39113,Aurelia,Kijanka,3,Pieszo,89
39114,Maurycy,Osica,1,Rower,77
39115,Ernest,Wołodźko,3,Pieszo,40
39116,Tymoteusz,Reich,1,Pieszo,12
39117,Dariusz,Siergiej,1,Hulajnoga,50
39118,Cezary,Jachimczak,2,Rower,61
39119,Liwia,Heleniak,2,Pieszo,42
39120,Olaf,Wilkos,2,Hulajnoga,12
39121,Nikodem,Oleszko,2,Rower,89
39122,Konstanty,Kościołek,2,Skuter,44
39123,Witold,Maculewicz,4,Rower,44
39124,Dariusz,Pastor,1,Skuter,23
39125,Kamila,Janc,2,Skuter,88
39126,Cezary,Sypień,1,Hulajnoga,17
39127,Ada,Wąsala,3,Skuter,41
39128,Emil,Zaguła,4,Hulajnoga,22
39129,Tobiasz,Damek,1,Skuter,19
39130,Eryk,Lorens,3,Rower,34
39131,Kazimierz,Matyszczak,2,Skuter,61
39132,Przemysław,Bystroń,3,Samochód,27
39133,Agnieszka,Kozar,3,Samochód,31
39134,Artur,Dzidek,3,Hulajnoga,59
39135,Apolonia,Smektała,1,Samochód,1
39136,Roksana,Łukowiak,3,Pieszo,60
39137,Konstanty,Siarkiewicz,2,Hulajnoga,59
39138,Radosław,Kołtuniak,2,Hulajnoga,48
39139,Jeremi,Kanik,1,Rower,59
39140,Cezary,Łokietek,4,Rower,77
39141,Melania,Molek,2,Samochód,54
39142,Iwo,Mitera,2,Skuter,52
39143,Roksana,Winnik,2,Samochód,78
39144,Oliwier,Bujko,1,Samochód,24
39145,Mieszko,Latoszek,2,Samochód,66
39146,Leonard,Lejk,4,Skuter,11
39147,Róża,Bilewicz,3,Samochód,15
39148,Ada,Durys,4,Skuter,24
39149,Ada,Długozima,4,Rower,13
39150,Antoni,Rogacz,4,Rower,67
39151,Julita,Kowara,4,Rower,56
39152,Stanisław,Wieczerzak,4,Skuter,90
39153,Marek,Żbik,3,Hulajnoga,7
39154,Olgierd,Sygut,3,Skuter,20
39155,Rafał,Potoczek,1,Samochód,27
39156,Aurelia,Przewoźna,3,Hulajnoga,53
39157,Leon,Krefta,3,Hulajnoga,11
39158,Julita,Moryc,4,Rower,21
39159,Paweł,Sobiło,4,Samochód,36
39160,Olga,Bruzda,1,Skuter,89
39161,Emil,Kolman,2,Rower,60
39162,Adam,Kraszkiewicz,1,Skuter,46
39163,Melania,Ulfik,4,Samochód,30
39164,Maciej,Węgrzyk,4,Rower,82
39165,Liwia,Zawiasa,3,Rower,85
39166,Filip,Kryza,3,Rower,27
39167,Alan,Chłąd,3,Rower,28
39168,Przemysław,Turczyk,2,Rower,11
39169,Franciszek,Dziuda,4,Skuter,37
39170,Iwo,Jonczyk,2,Samochód,55
39171,Alan,Gajowiak,1,Skuter,64
39172,Mieszko,Kurpanik,1,Pieszo,41
39173,Dorota,Kożuszek,2,Hulajnoga,16
39174,Michał,Rozynek,1,Hulajnoga,20
39175,Roksana,Buszko,2,Rower,12
39176,Justyna,Jereczek,1,Samochód,43
39177,Anita,Frączkiewicz,1,Skuter,54
39178,Anna Maria,Tusk,4,Samochód,58
39179,Marika,Kruzel,3,Skuter,80
39180,Tadeusz,Ważna,4,Pieszo,22
39181,Franciszek,Sass,3,Skuter,35
39182,Albert,Paszkowiak,1,Hulajnoga,5
39183,Róża,Węgrzyniak,3,Skuter,19
39184,Kalina,Wałek,1,Hulajnoga,43
39185,Malwina,Cyrek,3,Hulajnoga,20
39186,Jerzy,Łągiewka,4,Samochód,1
39187,Marcel,Nazimek,4,Samochód,28
39188,Leon,Kapinos,3,Rower,21
39189,Ernest,Pochopień,1,Skuter,67
39190,Jan,Świętoń,1,Pieszo,66
39191,Ewelina,Palak,3,Skuter,82
39192,Apolonia,Smykla,4,Skuter,58
39193,Kacper,Strojna,3,Samochód,84
39194,Michał,Jonak,3,Rower,5
39195,Ewa,Wiciak,2,Skuter,24
39196,Anastazja,Bors,4,Samochód,79
39197,Hubert,Styn,4,Samochód,57
39198,Szymon,Cydzik,1,Samochód,48
39199,Nela,Smela,2,Pieszo,15
39200,Ida,Frukacz,3,Hulajnoga,9
39201,Jacek,Szela,4,Samochód,7
39202,Eliza,Legutko,1,Hulajnoga,21
39203,Damian,Stempin,1,Rower,70
39204,Ryszard,Kochel,2,Skuter,42
39205,Liwia,Sulik,1,Hulajnoga,0
39206,Ida,Paszkowiak,1,Rower,9
39207,Klara,Borysiewicz,4,Pieszo,3
39208,Jakub,Mirga,3,Samochód,33
39209,Mieszko,Kociemba,4,Samochód,9
39210,Marika,Madera,1,Skuter,25
39211,Stefan,Zawalich,4,Skuter,44
39212,Konrad,Hyży,2,Pieszo,68
39213,Wojciech,Serzysko,4,Hulajnoga,39
39214,Jeremi,Matyjas,4,Samochód,76
39215,Sonia,Słomiany,1,Samochód,39
39216,Sylwia,Nazimek,4,Skuter,70
39217,Urszula,Suchojad,2,Hulajnoga,47
39218,Aleksander,Woda,1,Rower,88
39219,Leonard,Janczura,2,Skuter,35
39220,Aurelia,Majtczak,4,Skuter,0
39221,Eryk,Paliga,1,Rower,36
39222,Melania,Czermak,2,Hulajnoga,58
39223,Blanka,Madura,3,Hulajnoga,29
39224,Józef,Gabara,2,Samochód,58
39225,Marcelina,Karmelita,2,Rower,44
39226,Dagmara,Steciuk,4,Samochód,47
39227,Aniela,Drewnik,2,Hulajnoga,13
39228,Maurycy,Gryta,3,Hulajnoga,75
39229,Dominik,Jeka,2,Rower,0
39230,Jacek,Wicha,1,Hulajnoga,51
39231,Klara,Dmoch,2,Samochód,77
39232,Aleks,Beśka,1,Pieszo,62
39233,Marika,Lalak,1,Samochód,59
39234,Błażej,Plebanek,4,Skuter,28
39235,Radosław,Rabiej,1,Samochód,42
39236,Anna Maria,Orkisz,3,Samochód,47
39237,Tymoteusz,Bejm,4,Samochód,78
39238,Norbert,Krężołek,4,Skuter,20
39239,Damian,Grygorowicz,2,Hulajnoga,17
39240,Ignacy,Kurpanik,1,Samochód,11
39241,Emil,Jany,4,Hulajnoga,41
39242,Mateusz,Zysk,3,Hulajnoga,8
39243,Ewa,Tylus,2,Hulajnoga,90
39244,Bruno,Burchard,3,Rower,77
39245,Liwia,Kieca,1,Pieszo,5
39246,Maurycy,Czubaszek,4,Samochód,57
39247,Sara,Rzeszutko,4,Samochód,59
39248,Borys,Galon,1,Hulajnoga,68
39249,Miłosz,Zaniewicz,1,Skuter,50
39250,Bartek,Turlej,1,Rower,66
39251,Ksawery,Szczechowicz,4,Rower,61
39252,Kornelia,Burnat,2,Rower,49
39253,Maks,Zyzik,4,Rower,75
39254,Marcin,Wiercigroch,3,Skuter,88
39255,Julian,Elert,4,Pieszo,11
39256,Sebastian,Kopa,3,Samochód,69
39257,Kacper,Cis,4,Rower,56
39258,Justyna,Kuran,1,Skuter,14
39259,Melania,Grupa,3,Skuter,84
39260,Ryszard,Rząca,2,Hulajnoga,33
39261,Kazimierz,Nitek,1,Hulajnoga,4
39262,Józef,Romankiewicz,1,Rower,32
39263,Jerzy,Cydzik,4,Samochód,4
39264,Mariusz,Zera,4,Hulajnoga,70
39265,Alex,Ogłaza,1,Samochód,35
39266,Nikodem,Goik,4,Pieszo,49
39267,Józef,Pacura,3,Skuter,19
39268,Cezary,Bobrowicz,1,Rower,32
39269,Fabian,Jędrzejek,3,Skuter,22
39270,Inga,Peda,4,Pieszo,32
39271,Gustaw,Zielke,1,Pieszo,81
39272,Monika,Łosiewicz,2,Pieszo,79
39273,Angelika,Kurzaj,3,Samochód,82
39274,Klara,Rębiś,4,Pieszo,43
39275,Jan,Lizurej,4,Hulajnoga,40
39276,Aniela,Godzik,1,Samochód,90
39277,Bianka,Kobryń,4,Samochód,80
39278,Malwina,Heinrich,4,Pieszo,14
39279,Konstanty,Dziuda,2,Rower,35
39280,Paweł,Antończak,3,Samochód,53
39281,Mikołaj,Rudolf,1,Samochód,13
39282,Maurycy,Prawdzik,4,Samochód,38
39283,Robert,Molak,3,Pieszo,75
39284,Antoni,Karwan,3,Hulajnoga,20
39285,Bartek,Szczechowicz,1,Rower,67
39286,Krystian,Szajner,3,Hulajnoga,26
39287,Igor,Pawlonka,4,Samochód,8
39288,Leonard,Żywica,1,Skuter,49
39289,Anastazja,Pezda,3,Skuter,3
39290,Hubert,Wolańczyk,3,Samochód,7
39291,Malwina,Chachuła,1,Hulajnoga,27
39292,Urszula,Dulemba,1,Hulajnoga,52
39293,Adam,Miętka,4,Samochód,68
39294,Norbert,Hadam,3,Hulajnoga,89
39295,Aurelia,Łodyga,3,Hulajnoga,35
39296,Rafał,Dziarmaga,1,Hulajnoga,63
39297,Tymon,Linek,4,Samochód,60
39298,Gabriel,Bąkiewicz,3,Rower,27
39299,Cezary,Koperek,2,Skuter,37
39300,Kamil,Żołądź,1,Rower,58
39301,Tymoteusz,Matraszek,4,Skuter,84
39302,Tymon,Karmelita,4,Pieszo,49
39303,Blanka,Kózka,1,Samochód,12
39304,Janina,Jewuła,2,Rower,69
39305,Roksana,Tolak,1,Samochód,46
39306,Sonia,Halama,1,Skuter,33
39307,Gabriel,Kozień,3,Skuter,45
39308,Cezary,Hennig,1,Samochód,81
39309,Fryderyk,Buk,1,Hulajnoga,82
39310,Maciej,Ciuruś,1,Skuter,6
39311,Przemysław,Hawrylak,3,Hulajnoga,6
39312,Olga,Szmurło,1,Samochód,21
39313,Ewa,Bochnia,3,Pieszo,20
39314,Elżbieta,Rajchel,3,Samochód,57
39315,Dominik,Huszcza,4,Pieszo,87
39316,Leonard,Trzos,1,Hulajnoga,6
39317,Anna Maria,Trzyna,1,Pieszo,72
39318,Emil,Tutka,1,Samochód,28
39319,Przemysław,Kryza,2,Skuter,19
39320,Natan,Salach,4,Rower,30
39321,Ewa,Henke,3,Samochód,70
39322,Adam,Dolega,1,Samochód,57
39323,Fryderyk,Hudzik,1,Rower,5
39324,Emil,Sudnik,3,Samochód,89
39325,Kornel,Dziduch,1,Samochód,59
39326,Arkadiusz,Worach,2,Pieszo,34
39327,Piotr,Kus,3,Pieszo,89
39328,Dagmara,Stępka,4,Skuter,54
39329,Juliusz,Piotrak,4,Samochód,12
39330,Jeremi,Piestrzeniewicz,1,Pieszo,81
39331,Maksymilian,Kudra,4,Skuter,18
39332,Eryk,Grab,2,Pieszo,6
39333,Nataniel,Tylek,2,Pieszo,17
39334,Ada,Fronia,3,Pieszo,52
39335,Daniel,Dykas,4,Pieszo,77
39336,Ernest,Picheta,1,Hulajnoga,42
39337,Przemysław,Noras,1,Skuter,19
39338,Gabriel,Kapinos,1,Pieszo,36
39339,Jacek,Haraburda,1,Hulajnoga,38
39340,Szymon,Łaskawiec,2,Samochód,61
39341,Gustaw,Golczyk,4,Skuter,51
39342,Marika,Szykuła,1,Rower,37
39343,Aurelia,Stefanik,2,Skuter,50
39344,Lidia,Siedlaczek,4,Samochód,37
39345,Maurycy,Kwasek,3,Rower,64
39346,Marcelina,Zbrzeźniak,4,Skuter,28
39347,Jerzy,Stempel,2,Rower,13
39348,Wiktor,Amanowicz,4,Rower,70
39349,Bianka,Jasnoch,4,Samochód,7
39350,Tadeusz,Dziadowicz,4,Rower,44
39351,Piotr,Mosiołek,3,Rower,23
39352,Marika,Owsiany,1,Hulajnoga,22
39353,Kamila,Grodek,3,Pieszo,29
39354,Róża,Kazimierczuk,1,Samochód,48
39355,Nela,Olszowa,3,Skuter,1
39356,Ernest,Łaszcz,2,Hulajnoga,47
39357,Jerzy,Jodko,3,Samochód,9
39358,Eliza,Polakiewicz,1,Skuter,17
39359,Dagmara,Gryska,1,Pieszo,82
39360,Marika,Pera,2,Hulajnoga,17
39361,Kajetan,Zbrożek,2,Pieszo,85
39362,Kazimierz,Smętek,1,Skuter,2
39363,Kamil,Sochaj,1,Hulajnoga,14
39364,Kaja,Gęca,2,Hulajnoga,55
39365,Kalina,Miksza,4,Hulajnoga,22
39366,Rozalia,Bubak,3,Skuter,13
39367,Rozalia,Kwasek,3,Skuter,29
39368,Jacek,Krauza,1,Hulajnoga,13
39369,Janina,Dziarmaga,4,Hulajnoga,58
39370,Aniela,Pietraszkiewicz,1,Hulajnoga,14
39371,Konrad,Gogola,1,Samochód,14
39372,Anita,Smardz,4,Pieszo,40
39373,Leonard,Cuch,1,Skuter,76
39374,Szymon,Salwin,2,Samochód,65
39375,Liwia,Czuryło,3,Hulajnoga,59
39376,Damian,Piesik,2,Skuter,70
39377,Kazimierz,Dzienis,4,Skuter,79
39378,Ewelina,Nyk,2,Samochód,29
39379,Artur,Hyży,4,Samochód,83
39380,Kazimierz,Latacz,3,Hulajnoga,26
39381,Nataniel,Kawala,3,Samochód,10
39382,Maks,Żołna,4,Pieszo,47
39383,Jakub,Kacperczyk,4,Skuter,11
39384,Rafał,Kubiaczyk,2,Pieszo,26
39385,Tobiasz,Żero,3,Hulajnoga,44
39386,Andrzej,Michnowicz,3,Pieszo,60
39387,Rozalia,Litwa,1,Samochód,27
39388,Krystian,Markiel,1,Samochód,16
39389,Apolonia,Butrym,2,Rower,84
39390,Lidia,Drobek,1,Hulajnoga,86
39391,Dariusz,Sałuda,3,Rower,51
39392,Agnieszka,Dzwonnik,3,Skuter,17
39393,Grzegorz,Nowek,2,Pieszo,47
39394,Natasza,Bors,4,Skuter,7
39395,Kajetan,Hajdasz,3,Skuter,43
39396,Błażej,Fraszczyk,3,Samochód,87
39397,Kaja,Wydrych,4,Rower,26
39398,Ignacy,Witas,3,Pieszo,45
39399,Krzysztof,Giersz,1,Hulajnoga,9
39400,Blanka,Szulczyk,4,Pieszo,11
39401,Malwina,Iskierka,3,Hulajnoga,11
39402,Witold,Królikiewicz,2,Pieszo,2
39403,Krzysztof,Czapiga,4,Skuter,72
39404,Sandra,Dydo,1,Samochód,17
39405,Nela,Krüger,2,Samochód,25
39406,Tymoteusz,Klęczar,3,Skuter,23
39407,Monika,Rogal,1,Rower,31
39408,Leonard,Podgórny,3,Rower,7
39409,Eryk,Olearczyk,1,Hulajnoga,69
39410,Piotr,Garncarek,2,Rower,1
39411,Agnieszka,Myrcik,4,Skuter,75
39412,Urszula,Mikus,2,Rower,56
39413,Daniel,Szmurło,4,Skuter,7
39414,Łukasz,Paliga,3,Rower,43
39415,Rafał,Kujawiak,1,Skuter,31
39416,Antoni,Łacina,4,Skuter,70
39417,Cyprian,Trzos,4,Samochód,67
39418,Oliwier,Łokietek,4,Rower,9
39419,Franciszek,Szelest,2,Samochód,77
39420,Jakub,Brzykcy,1,Rower,82
39421,Janina,Nałęcz,4,Rower,78
39422,Mikołaj,Szajek,2,Samochód,43
39423,Mariusz,Miąsik,4,Samochód,15
39424,Bartek,Pietrek,2,Samochód,70
39425,Kacper,Grycz,2,Rower,5
39426,Marcel,Duszczak,4,Pieszo,74
39427,Janina,Simon,2,Skuter,40
39428,Jacek,Kucharz,4,Skuter,46
39429,Leonard,Wójt,1,Hulajnoga,84
39430,Blanka,Marat,3,Samochód,61
39431,Julita,Puch,2,Skuter,49
39432,Jan,Dering,2,Hulajnoga,90
39433,Robert,Jaremek,2,Pieszo,1
39434,Józef,Gabrych,1,Rower,20
39435,Tobiasz,Wacławiak,1,Rower,36
39436,Oliwier,Ochnik,4,Pieszo,85
39437,Albert,Krekora,2,Rower,57
39438,Gabriel,Czermak,1,Hulajnoga,69
39439,Adam,Stąpor,1,Skuter,33
39440,Apolonia,Cop,4,Rower,53
39441,Urszula,Pernak,1,Rower,78
39442,Tymon,Walocha,2,Samochód,73
39443,Maks,Niećko,1,Rower,15
39444,Oskar,Szeszko,3,Rower,9
39445,Klara,Wesoły,3,Rower,67
39446,Liwia,Arendarczyk,2,Samochód,70
39447,Oskar,Romaniak,2,Skuter,39
39448,Melania,Wereda,4,Samochód,83
39449,Tymoteusz,Lula,2,Pieszo,10
39450,Leonard,Kochman,2,Rower,69
39451,Dominik,Kasperczak,2,Samochód,17
39452,Aleksander,Sabak,4,Hulajnoga,18
39453,Melania,Czuj,1,Samochód,82
39454,Igor,Posmyk,3,Rower,55
39455,Damian,Kieloch,3,Skuter,23
39456,Szymon,Stupak,4,Hulajnoga,8
39457,Tymoteusz,Kurpisz,2,Hulajnoga,82
39458,Arkadiusz,Grygorcewicz,1,Skuter,18
39459,Paweł,Kałwak,4,Skuter,5
39460,Ryszard,Rosołek,4,Samochód,37
39461,Błażej,Szulczyk,1,Samochód,25
39462,Mariusz,Gogol,2,Pieszo,37
39463,Borys,Brzykcy,3,Skuter,64
39464,Olaf,Sadlak,3,Rower,47
39465,Cezary,Waloszek,4,Pieszo,51
39466,Julian,Gregorczuk,1,Rower,89
39467,Mikołaj,Sołtan,3,Hulajnoga,28
39468,Dorota,Frydrychowicz,3,Skuter,88
39469,Karol,Moroń,2,Hulajnoga,76
39470,Natasza,Chojna,4,Hulajnoga,41
39471,Maks,Kulis,2,Pieszo,88
39472,Patryk,Kopiczko,1,Skuter,44
39473,Marcelina,Stochel,1,Skuter,42
39474,Iwo,Niedojadło,4,Pieszo,5
39475,Aurelia,Mydlarz,4,Pieszo,61
39476,Stanisław,Arendarczyk,4,Samochód,23
39477,Cyprian,Krauza,1,Hulajnoga,20
39478,Dorota,Durlej,3,Samochód,68
39479,Nikodem,Ryszkiewicz,1,Rower,87
39480,Franciszek,Kurda,2,Hulajnoga,34
39481,Mariusz,Weremczuk,2,Skuter,32
39482,Fabian,Korzeniak,4,Samochód,85
39483,Gabriel,Gogol,3,Skuter,28
39484,Kornelia,Migała,2,Skuter,62
39485,Urszula,Bobryk,3,Pieszo,87
39486,Olgierd,Hrynkiewicz,1,Pieszo,36
39487,Sylwia,Kloch,2,Hulajnoga,2
39488,Aleks,Gołek,3,Rower,15
39489,Józef,Waniek,3,Rower,81
39490,Marika,Kozieja,4,Pieszo,27
39491,Olgierd,Bany,1,Hulajnoga,2
39492,Krystyna,Kreczmer,1,Samochód,30
39493,Krzysztof,Białous,2,Skuter,19
39494,Sylwia,Sadura,1,Skuter,66
39495,Fryderyk,Małas,1,Rower,21
39496,Roksana,Szmelter,3,Pieszo,39
39497,Ewa,Kamela,1,Rower,69
39498,Jacek,Czerepak,1,Skuter,8
39499,Agnieszka,Drożdżal,1,Samochód,86
39500,Franciszek,Knapek,1,Rower,51
39501,Karol,Rezmer,3,Rower,51
39502,Kaja,Chromy,2,Rower,39
39503,Radosław,Skiepko,4,Skuter,42
39504,Maurycy,Pogorzelec,2,Samochód,39
39505,Apolonia,Bąbol,4,Rower,3
39506,Jeremi,Pindral,4,Hulajnoga,79
39507,Piotr,Warczak,4,Hulajnoga,68
39508,Nikodem,Tomaszuk,1,Skuter,69
39509,Fryderyk,Dziewior,4,Samochód,88
39510,Błażej,Pacyga,3,Skuter,12
39511,Krystian,Kawulok,4,Rower,81
39512,Filip,Kołsut,1,Pieszo,13
39513,Iwo,Bieniak,2,Pieszo,56
39514,Bartek,Mały,2,Rower,33
39515,Jerzy,Doroz,2,Pieszo,20
39516,Jan,Świerad,3,Rower,30
39517,Kornelia,Staręga,4,Hulajnoga,86
39518,Filip,Ziegler,4,Rower,7
39519,Alex,Lelonek,2,Pieszo,1
39520,Melania,Wiatrak,2,Samochód,79
39521,Melania,Muc,1,Hulajnoga,39
39522,Melania,Kudela,1,Rower,62
39523,Sara,Przeniosło,1,Hulajnoga,49
39524,Stefan,Kość,3,Pieszo,14
39525,Damian,Misztela,2,Pieszo,80
39526,Kacper,Grygorcewicz,2,Skuter,18
39527,Fryderyk,Kościuszko,1,Rower,48
39528,Bianka,Głownia,1,Skuter,69
39529,Apolonia,Zieja,1,Hulajnoga,78
39530,Antoni,Bródka,1,Skuter,37
39531,Kornel,Sommer,3,Rower,88
39532,Olgierd,Gęgotek,4,Samochód,85
39533,Ignacy,Soczewka,4,Hulajnoga,59
39534,Melania,Gajdzik,1,Pieszo,4
39535,Mikołaj,Surdel,4,Samochód,42
39536,Tola,Kudłacz,2,Hulajnoga,68
39537,Eryk,Opas,4,Rower,1
39538,Anita,Karkut,2,Pieszo,2
39539,Kazimierz,Opalach,1,Rower,61
39540,Mariusz,Żmija,1,Hulajnoga,85
39541,Mateusz,Klatka,4,Samochód,79
39542,Arkadiusz,Henke,1,Rower,14
39543,Julita,Klemens,4,Pieszo,3
39544,Nicole,Wojtiuk,4,Samochód,22
39545,Sara,Michnowicz,2,Skuter,67
39546,Ryszard,Siembab,4,Rower,34
39547,Jacek,Smyl,2,Hulajnoga,46
39548,Eliza,Krzywonos,3,Samochód,35
39549,Adrianna,Neugebauer,3,Rower,4
39550,Alan,Kucewicz,3,Skuter,42
39551,Wojciech,Broniek,4,Samochód,10
39552,Róża,Orpel,2,Skuter,8
39553,Aurelia,Gwardiak,3,Hulajnoga,5
39554,Aleksander,Kazberuk,1,Samochód,23
39555,Julianna,Szykuła,2,Rower,52
39556,Iwo,Stwora,2,Skuter,28
39557,Jędrzej,Moniuszko,1,Rower,15
39558,Grzegorz,Ksel,2,Samochód,10
39559,Tomasz,Kohut,3,Skuter,50
39560,Melania,Kozica,3,Hulajnoga,42
39561,Arkadiusz,Cuch,1,Pieszo,9
39562,Dominik,Kwak,2,Samochód,72
39563,Mariusz,Gregorczuk,1,Skuter,42
39564,Witold,Elwart,1,Hulajnoga,41
39565,Janina,Dzienis,2,Rower,79
39566,Sebastian,Matusewicz,4,Skuter,2
39567,Cezary,Apanowicz,1,Rower,22
39568,Oskar,Sobolak,4,Samochód,62
39569,Ewelina,Zięcik,2,Samochód,37
39570,Ada,Duczmal,2,Samochód,66
39571,Józef,Bilewicz,2,Rower,46
39572,Bartek,Krzysiek,3,Skuter,13
39573,Nicole,Płoskonka,1,Skuter,84
39574,Kalina,Żurawik,3,Samochód,33
39575,Roksana,Budrewicz,3,Samochód,50
39576,Aurelia,Mudlaff,2,Samochód,57
39577,Natan,Rębiś,3,Hulajnoga,50
39578,Konrad,Lipowicz,4,Pieszo,39
39579,Stanisław,Orwat,4,Rower,53
39580,Klara,Gustaw,1,Pieszo,4
39581,Adam,Cader,2,Hulajnoga,28
39582,Leon,Lemanowicz,2,Samochód,63
39583,Adrianna,Kopciuch,4,Hulajnoga,77
39584,Malwina,Kasznia,2,Skuter,16
39585,Kornelia,Czosnyka,1,Pieszo,66
39586,Adam,Kultys,2,Rower,43
39587,Paweł,Lizoń,3,Hulajnoga,54
39588,Wojciech,Tereszkiewicz,3,Skuter,11
39589,Anastazja,Perczak,2,Skuter,76
39590,Angelika,Foremniak,1,Samochód,83
39591,Karina,Senger,1,Skuter,35
39592,Apolonia,Wojtanowicz,4,Skuter,79
39593,Nataniel,Siebert,1,Skuter,63
